2025-06-21 10:31:00,395 INFO  Logger.cs: 71 - 
--------------------------------------------------------------------------------
2025-06-21 10:31:00,412 INFO  Logger.cs: 73 - Logging commencing for SW2URDF exporter
2025-06-21 10:31:00,413 INFO  Logger.cs: 74 - Commit version 1.6.1-11-gaed57c3-dirty
2025-06-21 10:31:00,413 INFO  Logger.cs: 75 - Build version 1.6.9301.26718
2025-06-21 10:31:00,415 INFO  SwAddin.cs: 193 - Attempting to connect to SW
2025-06-21 10:31:00,415 INFO  SwAddin.cs: 197 - Setting up callbacks
2025-06-21 10:31:00,416 INFO  SwAddin.cs: 201 - Setting up command manager
2025-06-21 10:31:00,416 INFO  SwAddin.cs: 205 - Adding command manager
2025-06-21 10:31:00,418 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2025-06-21 10:31:00,419 INFO  SwAddin.cs: 210 - Adding Part export to file menu
2025-06-21 10:31:00,419 INFO  SwAddin.cs: 210 - Adding event handlers
2025-06-21 10:31:00,422 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2025-06-21 10:32:34,124 INFO  SwAddin.cs: 295 - Assembly export called for file Assem grip diff cyc
2025-06-21 10:32:34,126 INFO  SwAddin.cs: 307 - A rebuild is required
2025-06-21 10:32:34,127 INFO  SwAddin.cs: 314 - Saving assembly
2025-06-21 10:32:34,520 INFO  SwAddin.cs: 317 - Opening property manager
2025-06-21 10:32:34,529 INFO  ExportHelperExtension.cs: 1127 - Retrieving features of type [CoordSys] from Assem grip diff cyc
2025-06-21 10:32:34,532 INFO  ExportHelperExtension.cs: 1137 - Found 35 in Assem grip diff cyc
2025-06-21 10:32:34,533 INFO  ExportHelperExtension.cs: 1146 - Found 0 features of type [CoordSys] in Assem grip diff cyc
2025-06-21 10:32:34,533 INFO  ExportHelperExtension.cs: 1149 - Proceeding through assembly components
2025-06-21 10:32:34,534 INFO  ExportHelperExtension.cs: 1161 - 5 components to check
2025-06-21 10:32:34,535 INFO  ExportHelperExtension.cs: 1127 - Retrieving features of type [CoordSys] from 0.6m-1
2025-06-21 10:32:34,535 INFO  ExportHelperExtension.cs: 1137 - Found 25 in 0.6m-1
